City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,khani,41.9563,42.9566,3.76,91,100,1.29,GE,1670048894
343,pacific grove,36.6177,-121.9166,10.61,83,75,0.45,US,1670048895
344,beeville,28.4008,-97.7483,19.1,94,78,0.0,US,1670048648
345,rio grande,-32.035,-52.0986,20.87,90,100,3.96,BR,1670048896
346,tateyama,34.9833,139.8667,13.94,73,100,0.7,JP,1670048897
347,broken hill,-31.95,141.4333,31.78,16,4,4.01,AU,1670048897
348,cidreira,-30.1811,-50.2056,22.19,96,97,2.17,BR,1670048898
349,donskoye,45.4552,41.9741,-1.93,69,100,9.52,RU,1670048899
350,dudinka,69.4058,86.1778,-16.29,98,97,1.57,RU,1670048899
351,prince albert,53.2001,-105.7677,-26.03,70,20,4.12,CA,1670048900
352,darlawn,24.0167,92.9,25.78,42,1,1.29,IN,1670048901
353,deqing,30.5448,119.9599,9.41,88,100,1.62,CN,1670048902
354,san jose,37.3394,-121.895,9.4,85,75,0.89,US,1670048130
355,karratha,-20.7377,116.8463,33.26,42,1,10.48,AU,1670048903
356,provideniya,64.3833,-173.3,-3.92,83,79,3.15,RU,1670048904
357,yabrud,33.9674,36.6574,8.08,62,89,0.31,SY,1670048907
358,cururupu,-1.8283,-44.8683,24.85,79,72,2.92,BR,1670048907
359,jiayuguan,39.8167,98.3,-6.07,58,98,2.25,CN,1670048908
360,naryan-mar,67.6713,53.087,-4.89,96,100,3.53,RU,1670048908
361,voyvozh,62.892,54.9635,-11.48,97,99,1.78,RU,1670048909
362,college,64.8569,-147.8028,-7.45,88,100,2.57,US,1670048804
363,cotonou,6.3654,2.4183,26.99,83,40,5.66,BJ,1670048909
364,marzuq,14.4,46.4667,21.12,40,2,1.86,YE,1670048910
365,caravelas,-17.7125,-39.2481,22.33,94,100,2.06,BR,1670048911
366,am timan,11.0297,20.2827,25.08,24,40,4.44,TD,1670048911
367,pangody,65.85,74.4859,-6.55,94,100,7.91,RU,1670048912
368,otradnoye,59.7775,30.8181,-7.8,82,100,2.85,RU,1670048912
369,svetlogorsk,52.6333,29.7333,-4.32,90,100,3.93,BY,1670048913
370,trapani,37.8333,12.6667,15.49,82,20,7.2,IT,1670048913
371,panaba,21.2833,-88.2667,22.79,93,1,3.44,MX,1670048914
372,turayf,31.6725,38.6637,10.14,81,0,2.06,SA,1670048914
373,okhotsk,59.3833,143.3,-25.14,97,93,3.38,RU,1670048915
374,tuatapere,-46.1333,167.6833,15.5,65,93,3.58,NZ,1670048915
375,sibolga,1.7427,98.7792,26.75,82,100,1.16,ID,1670048916
376,solnechnyy,50.7214,136.6319,-16.52,89,100,1.22,RU,1670048916
377,the valley,18.217,-63.0578,26.17,65,1,7.26,AI,1670048916
378,egvekinot,66.3167,-179.1667,-17.62,90,87,3.2,RU,1670048917
379,bilibino,68.0546,166.4372,-25.89,98,48,1.59,RU,1670048917
380,gunjur,13.2019,-16.7339,18.04,88,92,2.06,GM,1670048918
381,tucumcari,35.1717,-103.725,4.41,41,0,9.77,US,1670048918
382,mayskiy,47.6931,40.1025,-4.33,70,100,8.89,RU,1670048919
383,kupino,54.3663,77.2981,-17.87,91,30,2.14,RU,1670048919
384,ternate,0.8,127.4,28.82,71,45,1.94,ID,1670048919
385,chama,47.1821,8.4636,2.02,93,100,0.51,CH,1670048920
386,larkollen,59.3339,10.6656,2.3,75,100,4.12,NO,1670048920
387,moose factory,51.2585,-80.6094,0.0,100,100,2.57,CA,1670048921
388,marinette,45.1,-87.6307,5.27,88,100,6.33,US,1670048921
389,alofi,-19.0595,-169.9187,26.94,83,42,1.54,NU,1670048922
390,tottori,35.5,134.2333,14.04,41,20,2.06,JP,1670048880
391,yatou,37.15,122.3833,3.39,68,90,8.38,CN,1670048922
392,kjollefjord,70.9457,27.3465,-0.97,86,13,7.72,NO,1670048923
393,alcaniz,41.05,-0.1333,2.72,83,50,0.9,ES,1670048923
394,haines junction,60.7522,-137.5108,-12.03,79,100,1.03,CA,1670048924
395,tezu,27.9167,96.1667,26.64,26,0,1.58,IN,1670048924
396,arroyo,41.6096,-4.7969,-1.34,90,5,0.0,ES,1670048925
397,zabol,32.25,67.25,6.72,47,0,1.95,AF,1670048774
398,yenagoa,4.9247,6.2642,24.61,92,100,1.08,NG,1670048926
399,brigantine,39.4101,-74.3646,12.24,88,100,4.12,US,1670048628
400,nikolskoye,59.7035,30.7861,-7.89,83,100,2.87,RU,1670048927
401,leh,34.1667,77.5833,-2.28,52,12,1.83,IN,1670048671
402,sambava,-14.2667,50.1667,27.22,70,26,2.72,MG,1670048928
403,presidencia roque saenz pena,-26.7852,-60.4388,18.91,50,1,0.8,AR,1670048928
404,saint-pierre,-21.3393,55.4781,28.82,61,0,4.63,RE,1670048928
405,flinders,-34.5833,150.8552,22.25,70,0,4.58,AU,1670048929
406,ossora,59.2353,163.0719,-6.7,80,100,12.01,RU,1670048929
407,berlevag,70.8578,29.0864,-0.11,80,13,1.03,NO,1670048930
408,broome,42.2506,-75.833,5.47,65,75,6.26,US,1670048930
409,frontera,26.9333,-101.45,16.85,79,2,0.89,MX,1670048931
410,marfino,55.7028,37.3822,-12.73,85,100,6.0,RU,1670048931
411,meulaboh,4.1363,96.1285,27.74,71,95,0.82,ID,1670048932
412,chulym,55.0997,80.9572,-18.94,95,71,0.79,RU,1670048932
413,baglung,28.2719,83.5898,21.22,44,1,2.5,NP,1670048932
414,verbilki,56.5333,37.6,-9.74,89,100,3.0,RU,1670048933
415,terra santa,-2.1042,-56.4869,23.69,90,100,1.09,BR,1670048933
416,ishigaki,24.3448,124.1572,28.07,69,75,1.54,JP,1670048934
417,tigre,-34.426,-58.5796,20.0,79,0,2.57,AR,1670048767
418,mweka,-4.85,21.5667,23.11,72,53,0.73,CD,1670048935
419,rocha,-34.4833,-54.3333,13.83,94,99,1.12,UY,1670048935
420,tiarei,-17.5333,-149.3333,28.01,82,60,8.73,PF,1670048936
421,yerbogachen,61.2767,108.0108,-16.99,94,100,4.66,RU,1670048936
422,naze,28.3667,129.4833,19.51,89,100,6.56,JP,1670048936
423,santa rosa,14.3122,121.1114,33.95,69,98,6.95,PH,1670048937
424,nantucket,41.2835,-70.0995,10.08,83,0,4.63,US,1670048937
425,strezhevoy,60.7333,77.5889,-20.14,94,6,4.71,RU,1670048938
426,hamilton,39.1834,-84.5333,12.47,85,100,6.69,US,1670048841
427,chabahar,25.2919,60.643,25.96,28,0,5.43,IR,1670048939
428,hualmay,-11.0964,-77.6139,18.75,90,10,3.65,PE,1670048940
429,nanortalik,60.1432,-45.2371,0.68,99,100,3.44,GL,1670048940
430,trelew,-43.249,-65.3051,20.44,28,3,4.71,AR,1670048941
431,talcahuano,-36.7167,-73.1167,14.82,82,40,5.14,CL,1670048941
432,biak,-0.9131,122.8766,28.59,70,97,0.31,ID,1670048942
433,penzance,50.1186,-5.5371,4.38,81,7,10.0,GB,1670048943
434,vysokogornyy,50.1167,139.15,-14.58,89,100,1.88,RU,1670048943
435,yilan,24.757,121.753,24.92,79,40,1.7,TW,1670048683
436,carman,49.4992,-98.0016,-16.81,71,15,3.6,CA,1670048945
437,ojinaga,29.5667,-104.4167,16.53,44,0,4.12,MX,1670048947
438,salalah,17.0151,54.0924,28.05,44,0,1.03,OM,1670048753
439,andijon,40.7821,72.3442,3.88,70,100,1.03,UZ,1670048948
440,nuuk,64.1835,-51.7216,-0.85,83,93,14.31,GL,1670048949
441,along,28.1667,94.7667,25.72,35,0,0.82,IN,1670048949
442,sao miguel,-5.4667,-35.3667,22.43,80,19,6.37,BR,1670048950
443,rajanpur,29.1035,70.325,24.17,17,0,4.21,PK,1670048951
444,wynyard,-41.0,145.7167,18.88,70,74,2.67,AU,1670048952
445,alihe,50.5667,123.7167,-19.31,69,76,2.58,CN,1670048953
446,poltavka,54.3663,71.7632,-17.69,85,9,3.17,RU,1670048954
447,hami,42.8,93.45,-3.97,20,40,1.43,CN,1670048954
448,ramos arizpe,25.55,-100.9667,17.2,55,0,0.0,MX,1670048955
449,kurilsk,45.2333,147.8833,1.34,59,88,4.45,RU,1670048955
450,huarmey,-10.0681,-78.1522,19.1,89,49,3.41,PE,1670048956
451,port hardy,50.6996,-127.4199,1.1,93,100,10.8,CA,1670048957
452,alanya,36.5438,31.9998,12.07,48,71,1.32,TR,1670048957
453,manaus,-3.1019,-60.025,24.27,88,0,1.54,BR,1670048731
454,pa sang,18.5262,98.9394,30.58,57,82,0.3,TH,1670048958
455,benidorm,38.5382,-0.131,11.05,72,79,4.23,ES,1670048808
456,luwuk,-0.9516,122.7875,29.33,76,98,0.48,ID,1670048959
457,kungurtug,50.5994,97.5228,-21.02,84,59,0.56,RU,1670048960
458,grand gaube,-20.0064,57.6608,28.22,69,22,3.52,MU,1670048961
459,mitzic,0.7821,11.549,20.13,96,100,0.71,GA,1670048961
460,loiza,18.4313,-65.8802,25.6,83,40,0.0,PR,1670048962
461,yumen,40.2833,97.2,-6.63,65,98,3.48,CN,1670048963
462,karpogory,64.0019,44.4451,-10.49,95,100,1.54,RU,1670048963
463,kuju,23.7167,85.5,24.41,31,0,1.92,IN,1670048964
464,tornio,65.8481,24.1466,-3.99,93,100,3.15,FI,1670048966
